============================================================
v2_20k 評估與校正 Pipeline - 步驟一: 重度運算與校正推論
============================================================

>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
執行校正模式: BASELINE
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>

----------------------------------------
處理目標任務: Y1
----------------------------------------
      [BASELINE | TEST2 | Layer 5 | Y1 | LGB] Brier=0.1626 | Rel=0.0012 | Res=0.0159 | Unc=0.1774 | ECE=0.0175 | LogLoss=0.5410
      [BASELINE | TEST1 | Layer 5 | Y1 | LR] Brier=0.1602 | Rel=0.0000 | Res=0.0169 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4852
      [BASELINE | TEST2 | Layer 5 | Y1 | LR] Brier=0.1620 | Rel=0.0005 | Res=0.0158 | Unc=0.1774 | ECE=0.0149 | LogLoss=0.5104
      [BASELINE | TEST1 | Layer 5 | Y1 | RF] Brier=0.1627 | Rel=0.0000 | Res=0.0144 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4954
      [BASELINE | TEST2 | Layer 5 | Y1 | RF] Brier=0.1642 | Rel=0.0007 | Res=0.0139 | Unc=0.1774 | ECE=0.0188 | LogLoss=0.5321
      [BASELINE | TEST1 | Layer 6 | Y1 | SGD] Brier=0.1576 | Rel=0.0000 | Res=0.0195 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4782
      [BASELINE | TEST2 | Layer 6 | Y1 | SGD] Brier=0.1554 | Rel=0.0008 | Res=0.0228 | Unc=0.1774 | ECE=0.0104 | LogLoss=0.4893
      [BASELINE | TEST1 | Layer 6 | Y1 | MLP] Brier=0.1554 | Rel=0.0000 | Res=0.0217 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4685
      [BASELINE | TEST2 | Layer 6 | Y1 | MLP] Brier=0.1580 | Rel=0.0013 | Res=0.0207 | Unc=0.1774 | ECE=0.0158 | LogLoss=0.5240
      [BASELINE | TEST1 | Layer 6 | Y1 | LGB] Brier=0.1604 | Rel=0.0000 | Res=0.0167 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4874
      [BASELINE | TEST2 | Layer 6 | Y1 | LGB] Brier=0.1623 | Rel=0.0017 | Res=0.0168 | Unc=0.1774 | ECE=0.0186 | LogLoss=0.5719
      [BASELINE | TEST1 | Layer 6 | Y1 | LR] Brier=0.1576 | Rel=0.0000 | Res=0.0195 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4786
      [BASELINE | TEST2 | Layer 6 | Y1 | LR] Brier=0.1563 | Rel=0.0005 | Res=0.0216 | Unc=0.1774 | ECE=0.0158 | LogLoss=0.4920
      [BASELINE | TEST1 | Layer 6 | Y1 | RF] Brier=0.1631 | Rel=0.0000 | Res=0.0140 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4966
      [BASELINE | TEST2 | Layer 6 | Y1 | RF] Brier=0.1638 | Rel=0.0006 | Res=0.0142 | Unc=0.1774 | ECE=0.0052 | LogLoss=0.5620

----------------------------------------
處理目標任務: Y2
----------------------------------------
      [BASELINE | TEST1 | Layer 1 | Y2 | SGD] Brier=0.1666 | Rel=0.0000 | Res=0.0105 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.5066
      [BASELINE | TEST2 | Layer 1 | Y2 | SGD] Brier=0.1657 | Rel=0.0010 | Res=0.0127 | Unc=0.1774 | ECE=0.0267 | LogLoss=0.5051
      [BASELINE | TEST1 | Layer 1 | Y2 | MLP] Brier=0.1592 | Rel=0.0000 | Res=0.0179 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4849
      [BASELINE | TEST2 | Layer 1 | Y2 | MLP] Brier=0.1597 | Rel=0.0003 | Res=0.0179 | Unc=0.1774 | ECE=0.0066 | LogLoss=0.5020
      [BASELINE | TEST1 | Layer 1 | Y2 | LGB] Brier=0.1425 | Rel=0.0000 | Res=0.0346 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4366
      [BASELINE | TEST2 | Layer 1 | Y2 | LGB] Brier=0.1471 | Rel=0.0005 | Res=0.0309 | Unc=0.1774 | ECE=0.0176 | LogLoss=0.4509
      [BASELINE | TEST1 | Layer 1 | Y2 | LR] Brier=0.1660 | Rel=0.0000 | Res=0.0111 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.5055
      [BASELINE | TEST2 | Layer 1 | Y2 | LR] Brier=0.1655 | Rel=0.0018 | Res=0.0136 | Unc=0.1774 | ECE=0.0275 | LogLoss=0.5056
      [BASELINE | TEST1 | Layer 1 | Y2 | RF] Brier=0.1472 | Rel=0.0000 | Res=0.0299 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4504
      [BASELINE | TEST2 | Layer 1 | Y2 | RF] Brier=0.1502 | Rel=0.0006 | Res=0.0277 | Unc=0.1774 | ECE=0.0122 | LogLoss=0.4596
      [BASELINE | TEST1 | Layer 2 | Y2 | SGD] Brier=0.1505 | Rel=0.0000 | Res=0.0266 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4644
      [BASELINE | TEST2 | Layer 2 | Y2 | SGD] Brier=0.1553 | Rel=0.0027 | Res=0.0248 | Unc=0.1774 | ECE=0.0388 | LogLoss=0.4771
      [BASELINE | TEST1 | Layer 2 | Y2 | MLP] Brier=0.1418 | Rel=0.0000 | Res=0.0353 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4356
      [BASELINE | TEST2 | Layer 2 | Y2 | MLP] Brier=0.1385 | Rel=0.0005 | Res=0.0394 | Unc=0.1774 | ECE=0.0154 | LogLoss=0.4288
      [BASELINE | TEST1 | Layer 2 | Y2 | LGB] Brier=0.1385 | Rel=0.0000 | Res=0.0386 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4273
      [BASELINE | TEST2 | Layer 2 | Y2 | LGB] Brier=0.1388 | Rel=0.0015 | Res=0.0401 | Unc=0.1774 | ECE=0.0218 | LogLoss=0.4283
      [BASELINE | TEST1 | Layer 2 | Y2 | LR] Brier=0.1509 | Rel=0.0000 | Res=0.0262 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4649
      [BASELINE | TEST2 | Layer 2 | Y2 | LR] Brier=0.1553 | Rel=0.0029 | Res=0.0250 | Unc=0.1774 | ECE=0.0356 | LogLoss=0.4773
      [BASELINE | TEST1 | Layer 2 | Y2 | RF] Brier=0.1452 | Rel=0.0000 | Res=0.0319 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4427
      [BASELINE | TEST2 | Layer 2 | Y2 | RF] Brier=0.1442 | Rel=0.0013 | Res=0.0345 | Unc=0.1774 | ECE=0.0273 | LogLoss=0.4468
      [BASELINE | TEST1 | Layer 3 | Y2 | SGD] Brier=0.1343 | Rel=0.0000 | Res=0.0428 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4166
      [BASELINE | TEST2 | Layer 3 | Y2 | SGD] Brier=0.1381 | Rel=0.0015 | Res=0.0408 | Unc=0.1774 | ECE=0.0280 | LogLoss=0.4436
      [BASELINE | TEST1 | Layer 3 | Y2 | MLP] Brier=0.1201 | Rel=0.0000 | Res=0.0570 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.3716
      [BASELINE | TEST2 | Layer 3 | Y2 | MLP] Brier=0.1170 | Rel=0.0019 | Res=0.0623 | Unc=0.1774 | ECE=0.0247 | LogLoss=0.3856
      [BASELINE | TEST1 | Layer 3 | Y2 | LGB] Brier=0.1251 | Rel=0.0000 | Res=0.0520 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.3832
